strategy_id,family,wrapper_mode,status,final_equity,total_return_pct,max_drawdown_pct,profit_factor,win_rate,notes
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,native_only,completed,246108.30379177188,884.4332151670875,46.37138362695909,2.309019905268424,0.643979057591623,Native tournament result preserved as the reference path.
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,native_only,completed,228570.5436611294,814.2821746445176,43.75507109331842,2.4854731643082038,0.6485998193315267,Native tournament result preserved as the reference path.
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,native_only,completed,121238.03124024614,385.0006153244443,74.54726920599204,1.5653236080547182,0.6030199707744763,Native tournament result preserved as the reference path.
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_only,completed,45501.15945615125,82.01919644859608,21.899543528876908,1.4204227675803216,0.5489051094890511,Native tournament result preserved as the reference path.
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_only,completed,39426.35456392796,57.70541825571185,20.265774294457927,1.8653746874041712,0.6274509803921569,Native tournament result preserved as the reference path.
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_only,completed,37130.12688738384,48.52050754953537,19.128185879681396,1.6318103901171637,0.6344086021505376,Native tournament result preserved as the reference path.
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_only,completed,36030.08399112027,44.131864207969016,14.618197261540756,1.407666807020722,0.55249343832021,Native tournament result preserved as the reference path.
zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_only,completed,35320.213226516,41.28085290606403,12.392111487623636,1.6910835203515937,0.5893536121673004,Native tournament result preserved as the reference path.
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
dse_exact_user_subset_5y,Down Streak Exhaustion,native_only,completed,31116.04055546004,24.46416222184013,5.930546643874612,1.812499845793933,0.5021645021645021,Native tournament result preserved as the reference path.
dse_exact_user_subset_5y,Down Streak Exhaustion,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
dse_exact_user_subset_5y,Down Streak Exhaustion,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
dse_exact_user_subset_5y,Down Streak Exhaustion,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_only,completed,28827.729355954398,15.310917423817582,7.058814332225372,1.500581217746879,0.5319148936170213,Native tournament result preserved as the reference path.
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
turn_of_month_trend_rep_user_subset_5y,Turn of Month Trend Family,native_only,completed,25880.59223439231,3.5223689375692318,14.88912025487129,1.0574220346945662,0.510548523206751,Native tournament result preserved as the reference path.
turn_of_month_trend_rep_user_subset_5y,Turn of Month Trend Family,native_plus_hard_catastrophe_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
turn_of_month_trend_rep_user_subset_5y,Turn of Month Trend Family,native_plus_tighter_profit_lock,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
turn_of_month_trend_rep_user_subset_5y,Turn of Month Trend Family,native_plus_capped_time_stop,blocked,,,,,,"Wrapper not run. A faithful wrapper rerun needs exact intratrade path ordering and native stop semantics, which this standardized user-subset ledger does not preserve well enough."
